TV_Budget,Radio_Budget,Social_Budget,Region,Sales
143.63502971184062,110.76102282256687,157.7020422189044,North,198.65767624193393
287.67857660247904,89.69252762473565,232.86782384700211,North,317.1460948233056
232.99848545285127,60.23859011722261,197.0202133856668,West,288.01579501999925
199.66462104925915,125.79335256190333,208.7677684682713,West,251.56940534953335
89.00466011060914,109.01505243200431,122.40869277273895,South,167.41624776344707
88.99863008405066,41.14020211483587,93.67694937179961,West,170.02589774826933
64.52090304204987,138.42053398419952,122.7141206670237,South,146.8265837992614
266.54403644373383,126.92984158001197,254.63754709290401,North,310.11087871806774
200.2787529358022,143.47398872795014,211.23046430445012,South,249.20488387702008
227.01814444901137,114.3435360904868,199.47485982439144,West,287.3155910800823
55.14612357395061,99.74397547165267,92.77045642891763,North,142.17361754784127
292.4774630404986,74.37159471778045,243.99689835887034,East,320.93219467110777
258.11066020010543,141.25470283602172,254.0206019300384,South,298.8965389922997
103.08477766956904,132.58830563505308,125.68601142802177,North,191.5146142591903
95.45624180177515,25.878427113804623,68.94801741406229,South,186.24337586125012
95.85112746335845,23.42770668464276,89.34117110000133,North,159.84643697186027
126.06056073988444,68.94023769414645,122.31695982642577,North,200.43739882114463
181.18910790805947,125.37193300163828,196.333349010187,South,247.28505890299803
157.98625466052894,148.34589681094278,185.04651042914622,East,232.6079846918813
122.80728504951048,39.554195843458665,106.03975885134412,North,162.4920028426655
202.96322368059487,97.23699299577757,200.07559113406518,North,228.64171389784474
84.87346516301045,69.51581136203279,89.00888401294996,North,189.89050028783595
123.03616213380454,146.08887171589842,160.13095712102222,East,221.951527609222
141.59046082342292,129.47546000764214,159.22829969316666,East,278.6423360074214
164.01749605425897,128.98273161244794,174.95865076988207,West,231.4533721933043
246.2939903482534,404.6505538667307,209.77912739576405,South,272.1266695794093
99.91844553958992,73.92653530389647,109.12751724599832,East,223.41886286215933
178.5586096034029,55.54291935099181,147.97500018124316,South,250.0061567741581
198.1036422155106,27.328814564620526,164.89451808890288,West,269.62520817356005
61.61260317999943,132.41390891315692,100.38970366038302,South,177.06180794476714
201.8862129753596,125.67713118691009,202.29019823459313,East,294.11500797661404
92.63103092182288,149.96329752719697,135.42605982613276,South,190.8965062684086
66.26289824631988,149.5627888196077,135.6352020257651,East,202.42753098028476
287.2213843133333,92.20612172834157,249.12357764861983,South,289.3464426945172
291.40800826863983,119.96836397346637,274.28823316946745,East,321.9862859217236
252.09933702911528,142.81954488471564,233.02370463236878,East,317.8699753010689
126.15344229334268,130.4541607880635,156.20499265806419,South,196.26523420160643
74.41802850159597,52.1552532266157,87.0665545206594,West,155.96926712522048
221.05825662803923,78.57073759031215,194.84898832753777,North,271.8938406258682
160.03812343490034,36.79072396969435,141.07685213993093,West,230.18192363940008
80.5095587111947,144.02663354363392,123.19712336864953,South,174.30231565269372
173.79422752781755,98.8027024786144,185.15078491063528,West,258.80898699954025
58.5971302788046,49.72356471545015,88.8687547890808,East,146.89568596786
277.3301005196955,107.32108897276137,244.16322924577096,North,302.3228693692349
114.69499540000423,100.35667125952645,126.00980719575847,South,175.90870144966755
215.6305710884955,66.56115334426926,198.75582120525846,South,214.72358937692957
127.92776902235273,34.762486985951774,122.72640326592992,South,176.98547037284126
180.0170052944527,107.30451542706395,174.43556114811616,North,239.49163400830884
186.67756983581992,87.64000111749313,170.29243127286193,East,284.2773160979634
96.21361388138176,120.40139092563311,124.73237909117871,South,187.60700783288127
292.3961569411397,87.62125514455914,235.04343232073458,West,302.83181326719443
243.78320584027864,130.7835950414102,226.85352214405816,South,306.70232725084713
284.87473539104724,91.74788904068312,235.24485162655392,South,316.69069013261225
273.70683760691225,92.92193629960022,230.37777882359737,South,299.49796076271963
199.47499470277128,133.96496834558485,206.26813159086453,South,245.11859846497214
280.4685587557792,72.45277260761162,234.89652475821646,East,304.7397852844113
72.12312551297987,37.4219796985833,84.70218263651832,West,151.40155615158943
,23.741747920734067,71.18433447632954,East,208.41345926034614
61.30682222763451,118.16784323757047,111.84192116289523,West,195.39622110981884
,100.6402416759504,140.11304027929137,South,220.38418352366253
147.1693224223705,111.53036985289907,158.28907352558454,North,212.2040128618551
117.83725794347397,47.685340996158395,113.07694598017702,East,189.16575795825614
257.18437728798233,37.72829182628007,187.66598979910464,North,281.64608512211703
139.18833167339733,21.890806536824652,112.20133290163095,East,188.95105023599632
120.23362742184518,65.5763826448576,118.61625259985098,South,186.98408192373492
185.67402078956212,96.6892992911023,183.24097683832613,East,258.6837722568351
85.23105624369066,70.99172586296521,98.04928874114425,South,152.88195747758962
250.54924518850993,76.87173986308477,238.37334296260826,East,271.9057035082098
68.6376609199427,137.54063028418727,110.43927794354038,South,171.78846383104803
296.72173415012935,65.27321071302904,235.0318497115869,South,291.9624679967661
243.06119232416435,86.8186335907754,207.32074615805507,West,266.48164216929877
99.6789203835431,121.8748916563486,125.15791890505191,South,138.19008682350395
51.3805292809006,71.55056170176512,65.3677800744478,West,154.08331234460093
253.86535711370854,100.87127102962356,240.03155080548328,South,301.9311307888034
226.71433596190428,132.10728213707688,238.95871872176997,North,298.1307978845105
232.25179201024682,143.43768107549346,228.58763200742473,South,266.25876768056656
242.81758667148642,39.11955252077493,181.20853119938567,North,260.7150479481178
68.5111629335226,140.4563912709943,122.90016525282701,North,179.3974285186763
139.61643213606817,83.97511810033996,134.19683110260797,South,185.0705333306106
78.96726488128243,53.571770478864586,88.3922888338851,North,166.0937637792003
265.7758564688984,79.68764831097397,227.91615389222883,West,307.4349530657355
205.82453170688947,147.40423478711202,202.6218484384063,East,306.76052447222855
132.7245062131623,84.04035221907304,150.40238247205076,South,189.8089229946423
65.88958757150591,62.73770933737607,95.45034269969739,North,149.3878080658236
,102.34211106117435,134.4650749259842,South,182.8363438749395
131.29583050668674,256.09465220582547,113.63953097590343,West,190.27123203192033
,29.86223265412631,180.4708514434734,South,245.3885517966331
209.38936783880328,36.7543638483844,168.29430731122474,South,240.3894245655557
